Altium Designer Pick and Place Locations
C:\Users\mert\Desktop\UProject\Project Outputs for UProject\Pick Place for UprojectPCB.txt

========================================================================================================================
File Design Information:

Date:       23.02.22
Time:       16:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint         Center-X(mil) Center-Y(mil) Rotation Description                                                                                         
BR1        ""                  TopLayer    DB105STR          1148.165      1932.294      90       "Bridge Rect 1PHASE 600V 1A Db-s"                                                                   
BZ1        CMI-9605IC-0580T    TopLayer    CMI-9605IC        259.937       1224.853      180      "Buzzers Indicator, Internally Driven Magnetic 5V 30mA 2.7kHz 80dB @ 5V, 10cm Through Hole PC Pins" 
C1         470uF               TopLayer    CAP_RADIAL_D10_P5 284.937       2359.853      180      "CAP ALU ELEC 470uF 50V RADIAL"                                                                     
C2         470uF               TopLayer    CAP_RADIAL_D10_P5 284.779       2790.601      180      "CAP ALU ELEC 470uF 50V RADIAL"                                                                     
C3         CL21B105KBFNNNE     TopLayer    CAP_0805          842.850       1355.562      270      "CAP CER 1uF %10 0805"                                                                              
C4         C0603C104K5RACTU    TopLayer    CAP_0603          911.748       1354.542      270      "CAP CER 100nF %10 0603 SMD"                                                                        
C5         EEV686M035A9HAA     TopLayer    CAP_EEVSERIES     994.937       1604.853      180      "Cap Aluminum Lytic 68uF 35V 20% (6.3 X 7.7mm) SMD 280mA 2000h 105C T/R"                            
C6         0603B103K160CT      TopLayer    CAP_0603          1109.937      1214.853      180      "CAP CER 10nF %10 0603"                                                                             
C7         CL21A475KAQNNNE     TopLayer    CAP_0805          2607.614      347.688       90       "CAP CER 4.7uF %10 0805"                                                                            
C8         CL21B105KBFNNNE     TopLayer    CAP_0805          1244.937      1649.853      270      "CAP CER 1uF %10 0805"                                                                              
C9         C0603C104K5RACTU    TopLayer    CAP_0603          1309.937      1649.853      270      "CAP CER 100nF %10 0603 SMD"                                                                        
C10        CL21A475KAQNNNE     TopLayer    CAP_0805          1735.567      1557.334      90       "CAP CER 4.7uF %10 0805"                                                                            
C11        CL21B105KBFNNNE     TopLayer    CAP_0805          1578.086      1406.743      360      "CAP CER 1uF %10 0805"                                                                              
C12        CL21A475KAQNNNE     TopLayer    CAP_0805          2540.685      806.350       90       "CAP CER 4.7uF %10 0805"                                                                            
C13        CL21A475KAQNNNE     TopLayer    CAP_0805          2607.614      806.350       90       "CAP CER 4.7uF %10 0805"                                                                            
C14        CL21B105KBFNNNE     TopLayer    CAP_0805          2674.543      806.350       90       "CAP CER 1uF %10 0805"                                                                              
C15        CL10C200JB8NNNC     TopLayer    CAP_0603          1950.134      1751.231      45       "CAP CER 20pF %5 0603 SMD"                                                                          
C16        CL21A475KAQNNNE     TopLayer    CAP_0805          406.634       198.629       360      "CAP CER 4.7uF %10 0805"                                                                            
C17        CL21B105KBFNNNE     TopLayer    CAP_0805          406.634       128.629       360      "CAP CER 1uF %10 0805"                                                                              
C18        CL21B104KBCNNNC     TopLayer    CAP_0805          406.634       58.629        360      "CAP CER 100nF %10 0805"                                                                            
C19        CL10C200JB8NNNC     TopLayer    CAP_0603          1910.764      1507.137      360      "CAP CER 20pF %5 0603 SMD"                                                                          
C20        CL21B104KBCNNNC     TopLayer    CAP_0805          539.937       1284.853      180      "CAP CER 100nF %10 0805"                                                                            
C21        C0603C104K5RACTU    TopLayer    CAP_0603          2054.465      1475.640      360      "CAP CER 100nF %10 0603 SMD"                                                                        
C22        CL21A475KAQNNNE     TopLayer    CAP_0805          1907.811      1878.200      90       "CAP CER 4.7uF %10 0805"                                                                            
C23        CL21B105KBFNNNE     TopLayer    CAP_0805          1974.740      1878.200      90       "CAP CER 1uF %10 0805"                                                                              
C24        CL21B104KBCNNNC     TopLayer    CAP_0805          2283.795      1982.530      270      "CAP CER 100nF %10 0805"                                                                            
C25        CL21B104KBCNNNC     TopLayer    CAP_0805          2706.039      1814.223      180      "CAP CER 100nF %10 0805"                                                                            
C26        CL21B104KBCNNNC     TopLayer    CAP_0805          2721.787      1485.483      90       "CAP CER 100nF %10 0805"                                                                            
C27        CL21B104KBCNNNC     TopLayer    CAP_0805          2056.433      1416.586      360      "CAP CER 100nF %10 0805"                                                                            
C28        CL21B105KBFNNNE     TopLayer    CAP_0805          2887.142      1127.216      90       "CAP CER 1uF %10 0805"                                                                              
C29        CL21B104KBCNNNC     TopLayer    CAP_0805          2816.276      1127.216      90       "CAP CER 100nF %10 0805"                                                                            
C30        ESH477M050AH4AA     TopLayer    CAP_RADIAL_D10_P5 1662.732      1058.318      225      "CAP ALU ELEC 470uF 50V RADIAL"                                                                     
C31        CL21B104KBCNNNC     TopLayer    CAP_0805          2202.102      1251.231      270      "CAP CER 100nF %10 0805"                                                                            
C32        CL21B105KBFNNNE     TopLayer    CAP_0805          2135.173      1251.231      270      "CAP CER 1uF %10 0805"                                                                              
C33        C0603C104K5RACTU    BottomLayer CAP_0603          3618.441      133.121       270      "CAP CER 100nF %10 0603 SMD"                                                                        
C34        CL21A475KAQNNNE     BottomLayer CAP_0805          3284.779      156.743       360      "CAP CER 4.7uF %10 0805"                                                                            
C35        CL21B105KBFNNNE     BottomLayer CAP_0805          3249.346      251.231       90       "CAP CER 1uF %10 0805"                                                                              
C36        CL21A475KAQNNNE     BottomLayer CAP_0805          3253.283      440.208       90       "CAP CER 4.7uF %10 0805"                                                                            
C37        CL21A475KAQNNNE     BottomLayer CAP_0805          3320.213      440.208       90       "CAP CER 4.7uF %10 0805"                                                                            
C38        CL21B105KBFNNNE     BottomLayer CAP_0805          3387.142      440.208       90       "CAP CER 1uF %10 0805"                                                                              
C39        C0603C104K5RACTU    BottomLayer CAP_0603          3300.523      1018.948      360      "CAP CER 100nF %10 0603 SMD"                                                                        
C40        CL21B105KBFNNNE     BottomLayer CAP_0805          3296.590      1097.688      180      "CAP CER 1uF %10 0805"                                                                              
C41        0603B103K160CT      BottomLayer CAP_0603          3497.378      940.207       90       "CAP CER 10nF %10 0603"                                                                             
C42        C3216X5R1E336M160AC BottomLayer CAP_1206          3690.291      914.617       90       "CAP CER 33uF %20 1206 SMD"                                                                         
C43        C0603C104K5RACTU    BottomLayer CAP_0603          3072.181      936.267       270      "CAP CER 100nF %10 0603 SMD"                                                                        
C44        0603B103K160CT      BottomLayer CAP_0603          3560.370      818.164       270      "CAP CER 10nF %10 0603"                                                                             
C45        C3216X5R1E336M160AC BottomLayer CAP_1206          3666.669      731.546       270      "CAP CER 33uF %20 1206 SMD"                                                                         
C46        C0603C104K5RACTU    BottomLayer CAP_0603          3493.086      652.212       90       "CAP CER 100nF %10 0603 SMD"                                                                        
C47        C0603C104K5RACTU    BottomLayer CAP_0603          3544.622      652.802       270      "CAP CER 100nF %10 0603 SMD"                                                                        
D1         1N4148WS            TopLayer    SOD323F           2019.898      2509.853      360      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D2         1N4148WS            TopLayer    SOD323F           2713.913      2515.011      180      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D3         1SMB5919BT3G        TopLayer    SMB               851.827       1114.853      180      "Diode Zener Single 5.6V 5% 3W 2-Pin SMB T/R"                                                       
D4         1N4148WS            TopLayer    SOD323F           2533.795      329.971       270      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D5         1N4148WS            TopLayer    SOD323F           1560.370      1337.845      360      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D6         "LH R974-LP-1"      TopLayer    LED_RED_0805      3357.614      833.908       180      "LED Uni-Color Hyper Red 660nm 2-Pin Chip 0805(2012Metric) T/R"                                     
D7         LTST-C171GKT        BottomLayer LED_GREEN_0805    3119.425      723.672       180      "Green 0805 130 º Min 5 mcd Typical 12 mcd Water Clear Lens SMT LED"                                
D8         1N4148WS            TopLayer    SOD323F           724.740       1845.719      90       "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
F1         "FUSE 3413.0216.22" TopLayer    3413.0216.22      795.606       2030.759      180      "Fuse Chip Fast Acting 1A 32V SMD Solder Pad 1206 Glass T/R VDE/cULus"                              
J1         TBP01R1-508-02BE    TopLayer    TBP01R1-508       284.779       3420.523      270      "Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"                          
J2         TBP01R1-508-02BE    TopLayer    TBP01R1-508       2099.898      3469.853      180      "Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"                          
J3         TBP01R1-508-02BE    TopLayer    TBP01R1-508       2604.898      3469.853      180      "Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"                          
J4         SMH-105-02-L-S      TopLayer    PINHEADER1X5_RA   2650.921      2147.294      90       ".100 C.L. HORIZONTAL SMT SOCKET"                                                                   
J5         PJ-037AH-SMT-TR     TopLayer    JACK              312.772       1818.830      0        "DC Power Connectors Power Jacks"                                                                   
J6         PJ-037AH-SMT-TR     TopLayer    JACK              1855.646      384.105       90       "DC Power Connectors Power Jacks"                                                                   
J7         64800611622         TopLayer    64800611622       2816.276      678.397       270      "1.50mm 6PIN Connector"                                                                             
J8         64800611622         BottomLayer 64800611622       3146.984      320.129       270      "1.50mm 6PIN Connector"                                                                             
L1         78438335470         TopLayer    IND_1212          1114.937      1114.853      360      "FIXED IND 47UH 390MA 2.3 OHM SMD"                                                                  
